date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD;
1992/10/09;676.47;702.32;640.22;660.29;3979;724.62;800.47;977.55;542.26;;;849.90;891.45;;;397900.00;410380.00;452620.00;23.00;28.72;11.56;977.55;1375.07;580.02;13.19;79.40;-132.41;
1992/10/16;687.45;713.77;648.84;664.75;4729;702.31;766.43;949.05;550.51;;;810.13;901.07;;;472900.00;398980.00;467480.00;21.05;26.16;10.83;949.05;1350.65;547.45;0.62;63.64;-126.04;
1992/10/23;643.80;667.46;524.07;559.73;5211;663.38;736.56;921.75;556.86;;;769.10;906.66;;;521100.00;391960.00;464260.00;17.03;23.12;4.85;921.75;1351.73;491.77;-17.61;47.39;-130.00;
1992/10/30;539.50;561.50;447.93;507.25;6537;618.87;695.66;888.53;562.19;;;727.60;909.04;;;653700.00;448520.00;462770.00;16.29;20.84;7.19;888.53;1339.36;437.69;-35.87;30.74;-133.23;
1992/11/06;471.18;508.81;455.73;457.05;5493;569.81;656.54;852.78;566.68;;;694.16;908.62;;;549300.00;518980.00;473800.00;11.74;17.81;-0.40;852.78;1321.99;383.57;-53.78;13.83;-135.24;
1992/11/13;439.81;459.04;388.32;414.09;5629;520.57;622.60;815.25;570.48;;;652.31;903.61;;;562900.00;551980.00;481180.00;9.95;15.19;-0.53;815.25;1299.26;331.25;-70.63;-3.06;-135.14;
1992/11/20;402.02;415.64;386.85;401.44;5023;467.91;585.11;775.87;574.15;;;615.08;867.51;;;502300.00;557860.00;478420.00;7.93;12.77;-1.74;775.87;1259.96;291.77;-84.03;-19.25;-129.55;
1992/11/27;404.05;752.32;401.82;637.67;12657;483.50;573.44;748.32;581.70;;;605.42;844.55;;;1265700.00;706780.00;549370.00;28.17;17.90;48.69;748.32;1194.76;301.88;-74.73;-30.35;-88.76;
1992/12/04;682.08;841.02;637.67;807.02;13741;543.45;581.16;732.39;591.94;;;607.98;833.06;;;1374100.00;850860.00;649690.00;49.62;28.47;91.90;732.39;1143.49;321.29;-53.08;-34.89;-36.37;
1992/12/11;765.87;811.57;592.78;722.28;14953;596.50;583.16;711.40;600.60;;;605.31;815.77;;;1495300.00;1040060.00;779520.00;57.70;38.21;96.66;711.40;1074.51;348.30;-42.27;-36.37;-11.81;
1992/12/18;741.06;748.19;663.17;698.13;6702;653.31;586.94;693.71;608.70;;;602.67;797.55;;;670200.00;1061520.00;806750.00;61.31;45.91;92.10;693.71;1019.48;367.93;-35.25;-36.15;1.79;
1992/12/25;709.87;781.36;697.70;764.28;10017;725.88;596.89;681.66;617.76;;;607.83;782.15;;;1001700.00;1161400.00;859630.00;68.57;53.47;98.79;681.66;975.15;388.17;-24.07;-33.73;19.32;
1992/12/31;764.43;784.03;754.54;780.39;5901;754.42;618.96;677.76;626.92;;;617.84;766.43;;;590100.00;1026280.00;866530.00;74.60;60.51;102.78;677.76;963.33;392.19;-13.75;-29.74;31.97;
1993/01/08;784.13;893.86;777.16;889.47;15684;770.91;657.18;676.42;637.77;;;636.57;754.92;;;1568400.00;1065140.00;958000.00;82.78;67.93;112.47;676.42;957.50;395.34;3.19;-23.15;52.68;
