date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD
1996/05/31;715.98;724.97;630.52;643.65;804629;594.30;633.15;634.17;674.26;;;;;;;80462896.00;43386600.00;49879616.00;36.53;29.39;50.82;634.17;763.96;504.37;-20.48;-21.03;1.10
1996/06/28;643.95;819.68;636.49;804.25;1219443;647.68;641.19;641.63;685.37;;;;;;;121944304.00;62717900.00;52069736.00;56.01;38.26;91.51;641.63;792.00;491.26;-4.83;-17.79;25.93
1996/07/31;800.90;894.72;753.75;822.47;1400978;701.58;651.19;648.57;696.68;;;;;;;140097792.00;88863568.00;60086988.00;64.37;46.96;99.18;648.57;818.64;478.51;8.94;-12.45;42.78
1996/08/30;823.17;894.85;766.70;809.93;811990;752.29;660.46;656.68;707.21;;;;;;;81199000.00;99708288.00;61086144.00;68.83;54.25;98.00;656.68;841.41;471.94;18.63;-6.23;49.72
1996/09/27;812.94;875.52;752.68;875.52;885025;791.16;683.89;672.32;718.78;;;;;;;88502496.00;102441296.00;66634752.00;77.54;62.01;108.58;672.32;875.58;469.06;31.24;1.26;59.96
1996/10/31;887.85;1038.81;852.83;976.71;1846920;857.78;726.04;693.70;731.42;;;;;;;184692000.00;123287144.00;83336872.00;81.05;68.36;106.43;693.70;929.72;457.67;48.84;10.78;76.12
1996/11/29;935.17;1047.39;896.87;1032.94;1368464;903.51;775.60;713.00;744.31;;;;;;;136846400.00;126267544.00;94492720.00;86.40;74.37;110.45;713.00;992.12;433.87;66.55;21.93;89.24
1996/12/31;1056.67;1258.68;855.84;917.01;2170212;922.42;812.00;729.85;754.71;;;;;;;217021200.00;141652224.00;115257896.00;74.72;74.49;75.18;729.85;1015.77;443.93;70.43;31.63;77.59
1997/01/31;914.06;967.89;871.78;964.74;689181;953.38;852.84;743.06;765.57;;;;;;;68918096.00;139196032.00;119452160.00;67.55;72.17;58.29;743.06;1047.11;439.01;76.47;40.60;71.73
1997/02/28;969.53;1040.17;870.18;1040.02;773410;986.28;888.72;763.53;776.83;;;;;;;77341000.00;136963760.00;119702528.00;66.65;70.33;59.29;763.53;1090.01;437.06;86.33;49.75;73.17
1997/03/31;1044.61;1234.95;1043.92;1234.61;1861120;1037.86;947.82;790.49;791.05;;;;;;;186112000.00;137247744.00;130267440.00;76.18;72.28;83.98;790.49;1176.84;404.13;108.60;61.52;94.17
